Size;Generation(µs);Serialization(µs);ToRedis(µs)
128x128;1543;7;228
512x512;24195;168;1461
512x512;24391;157;1082
512x512;24173;168;1291
128x128;1581;10;130
512x512;24793;289;2657
512x512;24566;213;1354
128x128;1598;9;160
128x128;1574;4;259
512x512;25101;216;2065
256x256;6351;54;563
512x512;24926;220;2641
128x128;1532;8;298
512x512;24099;193;1669
128x128;1538;8;151
512x512;24378;207;1425
256x256;6155;51;826
512x512;24532;195;1640
512x512;24057;211;2130
128x128;1619;10;219
256x256;6224;49;726
512x512;25044;193;1472
256x256;6154;38;416
512x512;24068;173;1445
512x512;23901;162;1593
128x128;1546;8;191
256x256;6088;37;450
256x256;6197;16;390
128x128;1552;3;162
512x512;24271;169;1363
128x128;1521;7;131
128x128;1542;4;221
128x128;1510;4;219
512x512;23958;293;2227
128x128;1541;15;350
512x512;24179;187;1466
512x512;23838;195;1394
128x128;1624;8;180
128x128;1538;4;227
512x512;24003;177;1163
128x128;1543;6;310
512x512;24303;213;1358
512x512;23880;227;1152
512x512;24073;169;1394
512x512;24041;152;2837
256x256;6109;38;434
128x128;1604;8;225
256x256;6248;19;354
256x256;6174;17;445
256x256;6298;31;467
128x128;1618;8;234
256x256;6257;22;257
256x256;6148;17;402
256x256;6166;16;430
128x128;1531;4;160
512x512;24164;178;1448
128x128;1546;7;193
512x512;24020;172;1323
256x256;6110;37;486
256x256;6215;17;461
128x128;1537;8;257
256x256;6029;16;492
512x512;24136;163;1450
256x256;6086;29;399
512x512;24301;165;1204
512x512;24056;149;1042
512x512;24119;154;1208
128x128;1507;8;284
128x128;1551;3;250
256x256;6027;38;478
512x512;24104;155;1491
128x128;1556;6;146
256x256;5943;33;442
256x256;6161;17;407
128x128;1564;4;192
128x128;1602;4;183
128x128;1500;3;224
256x256;5970;16;538
512x512;24158;170;1373
256x256;6126;32;362
512x512;24085;156;1201
256x256;6043;32;379
256x256;6261;17;419
512x512;24046;158;1304
128x128;1486;8;213
128x128;1553;4;252
256x256;6000;29;328
256x256;6192;17;506
256x256;6261;17;413
128x128;1530;4;267
256x256;6050;17;422
