Size;Generation(µs);Sending(µs)
256x256;6016;3969
512x512;23537;16612
256x256;5901;3725
256x256;5884;3898
256x256;5944;3565
128x128;1452;109
128x128;1483;107
256x256;5978;3975
512x512;23702;16391
256x256;5945;3751
512x512;23745;16874
256x256;5939;3984
256x256;5962;3724
256x256;5903;3922
128x128;1474;111
512x512;23576;16883
512x512;23583;16953
512x512;23401;16935
128x128;1483;111
256x256;6026;3530
128x128;1523;111
128x128;1468;106
512x512;23607;16761
128x128;1512;110
256x256;6143;3553
256x256;6042;3521
512x512;23605;16805
256x256;5878;3597
256x256;5879;3479
512x512;23647;16721
