Size;Generation(µs);ToString(µs);ToRedis(µs)
2048x2048;1670017;238900;59278
2048x2048;1673974;240382;64133
2048x2048;1681988;239922;63672
128x128;6240;888;5981
128x128;6744;869;232
256x256;25316;3492;458
2048x2048;1690048;239562;64817
128x128;6432;873;3839
1024x1024;410796;56568;12226
512x512;101585;14313;4023
128x128;6585;892;409
128x128;6296;875;188
256x256;25696;3541;365
1024x1024;421511;58447;11641
512x512;105567;14716;6364
1024x1024;416294;56884;12304
2048x2048;1673864;238177;60060
2048x2048;1665470;237012;58534
512x512;100824;13874;3855
256x256;25546;3456;607
128x128;6261;866;203
512x512;101303;13849;1839
1024x1024;405847;57982;12324
2048x2048;1722257;236482;66016
256x256;26410;3816;3702
2048x2048;1691814;246895;60705
256x256;27026;3722;3209
512x512;103391;14204;1793
256x256;25778;3587;742
